主省份,迁出省份,比例,日期
四川省,重庆市,36.93,2020/1/1
四川省,云南省,14.3,2020/1/1
四川省,贵州省,9.26,2020/1/1
四川省,陕西省,5.65,2020/1/1
四川省,广东省,5.02,2020/1/1
四川省,甘肃省,2.61,2020/1/1
四川省,湖北省,2.39,2020/1/1
四川省,北京市,2.25,2020/1/1
四川省,河南省,2.12,2020/1/1
四川省,江苏省,1.76,2020/1/1
四川省,浙江省,1.69,2020/1/1
四川省,上海市,1.61,2020/1/1
四川省,山东省,1.37,2020/1/1
四川省,广西壮族自治区,1.25,2020/1/1
四川省,湖南省,1.23,2020/1/1
四川省,河北省,1.2,2020/1/1
四川省,海南省,1.14,2020/1/1
四川省,福建省,1.09,2020/1/1
四川省,山西省,0.88,2020/1/1
四川省,西藏自治区,0.86,2020/1/1
四川省,青海省,0.78,2020/1/1
四川省,安徽省,0.78,2020/1/1
四川省,新疆维吾尔自治区,0.74,2020/1/1
四川省,江西省,0.73,2020/1/1
四川省,辽宁省,0.55,2020/1/1
四川省,内蒙古自治区,0.33,2020/1/1
四川省,天津市,0.33,2020/1/1
四川省,黑龙江省,0.31,2020/1/1
四川省,吉林省,0.29,2020/1/1
四川省,宁夏回族自治区,0.24,2020/1/1
四川省,重庆市,31.63,2020/1/2
四川省,云南省,10.81,2020/1/2
四川省,贵州省,7.94,2020/1/2
四川省,广东省,6.54,2020/1/2
四川省,陕西省,5.65,2020/1/2
四川省,北京市,3.19,2020/1/2
四川省,湖北省,2.72,2020/1/2
四川省,河南省,2.66,2020/1/2
四川省,甘肃省,2.58,2020/1/2
四川省,浙江省,2.41,2020/1/2
四川省,江苏省,2.35,2020/1/2
四川省,上海市,1.8,2020/1/2
四川省,山东省,1.78,2020/1/2
四川省,湖南省,1.78,2020/1/2
四川省,海南省,1.75,2020/1/2
四川省,广西壮族自治区,1.68,2020/1/2
四川省,福建省,1.68,2020/1/2
四川省,河北省,1.58,2020/1/2
四川省,新疆维吾尔自治区,1.29,2020/1/2
四川省,山西省,1.15,2020/1/2
四川省,安徽省,1.08,2020/1/2
四川省,江西省,0.98,2020/1/2
四川省,西藏自治区,0.91,2020/1/2
四川省,青海省,0.88,2020/1/2
四川省,辽宁省,0.69,2020/1/2
四川省,黑龙江省,0.49,2020/1/2
四川省,内蒙古自治区,0.48,2020/1/2
四川省,天津市,0.45,2020/1/2
四川省,宁夏回族自治区,0.37,2020/1/2
四川省,吉林省,0.33,2020/1/2
四川省,重庆市,35.13,2020/1/3
四川省,云南省,12.36,2020/1/3
四川省,贵州省,8.1,2020/1/3
四川省,广东省,5.55,2020/1/3
四川省,陕西省,5.47,2020/1/3
四川省,北京市,2.65,2020/1/3
四川省,河南省,2.59,2020/1/3
四川省,甘肃省,2.56,2020/1/3
四川省,湖北省,2.45,2020/1/3
四川省,江苏省,2.19,2020/1/3
四川省,浙江省,1.92,2020/1/3
四川省,山东省,1.74,2020/1/3
四川省,上海市,1.57,2020/1/3
四川省,福建省,1.55,2020/1/3
四川省,湖南省,1.54,2020/1/3
四川省,海南省,1.4,2020/1/3
四川省,广西壮族自治区,1.39,2020/1/3
四川省,河北省,1.37,2020/1/3
四川省,安徽省,1.04,2020/1/3
四川省,山西省,1.03,2020/1/3
四川省,青海省,0.97,2020/1/3
四川省,新疆维吾尔自治区,0.96,2020/1/3
四川省,江西省,0.85,2020/1/3
四川省,西藏自治区,0.81,2020/1/3
四川省,辽宁省,0.56,2020/1/3
四川省,黑龙江省,0.46,2020/1/3
四川省,天津市,0.36,2020/1/3
四川省,内蒙古自治区,0.36,2020/1/3
四川省,吉林省,0.36,2020/1/3
四川省,宁夏回族自治区,0.35,2020/1/3
四川省,重庆市,32.74,2020/1/4
四川省,云南省,13.21,2020/1/4
四川省,贵州省,8.46,2020/1/4
四川省,广东省,5.46,2020/1/4
四川省,陕西省,5.22,2020/1/4
四川省,河南省,2.81,2020/1/4
四川省,甘肃省,2.58,2020/1/4
四川省,湖北省,2.52,2020/1/4
四川省,北京市,2.5,2020/1/4
四川省,江苏省,2.3,2020/1/4
四川省,浙江省,2.07,2020/1/4
四川省,山东省,1.85,2020/1/4
四川省,广西壮族自治区,1.6,2020/1/4
四川省,湖南省,1.59,2020/1/4
四川省,上海市,1.59,2020/1/4
四川省,河北省,1.55,2020/1/4
四川省,福建省,1.47,2020/1/4
四川省,海南省,1.35,2020/1/4
四川省,山西省,1.17,2020/1/4
四川省,安徽省,1.14,2020/1/4
四川省,新疆维吾尔自治区,1.06,2020/1/4
四川省,青海省,1.06,2020/1/4
四川省,江西省,0.98,2020/1/4
四川省,西藏自治区,0.83,2020/1/4
四川省,辽宁省,0.63,2020/1/4
四川省,黑龙江省,0.47,2020/1/4
四川省,天津市,0.41,2020/1/4
四川省,宁夏回族自治区,0.39,2020/1/4
四川省,内蒙古自治区,0.37,2020/1/4
四川省,吉林省,0.27,2020/1/4
四川省,重庆市,33.21,2020/1/5
四川省,云南省,12.6,2020/1/5
四川省,贵州省,8.8,2020/1/5
四川省,陕西省,5.48,2020/1/5
四川省,广东省,5.23,2020/1/5
四川省,北京市,3.06,2020/1/5
四川省,甘肃省,2.8,2020/1/5
四川省,河南省,2.65,2020/1/5
四川省,湖北省,2.51,2020/1/5
四川省,江苏省,2.23,2020/1/5
四川省,浙江省,2.07,2020/1/5
四川省,上海市,1.79,2020/1/5
四川省,山东省,1.68,2020/1/5
四川省,湖南省,1.63,2020/1/5
四川省,广西壮族自治区,1.43,2020/1/5
四川省,海南省,1.41,2020/1/5
四川省,河北省,1.38,2020/1/5
四川省,福建省,1.35,2020/1/5
四川省,安徽省,1.09,2020/1/5
四川省,江西省,0.99,2020/1/5
四川省,山西省,0.97,2020/1/5
四川省,新疆维吾尔自治区,0.94,2020/1/5
四川省,西藏自治区,0.91,2020/1/5
四川省,青海省,0.87,2020/1/5
四川省,辽宁省,0.62,2020/1/5
四川省,天津市,0.46,2020/1/5
四川省,黑龙江省,0.42,2020/1/5
四川省,宁夏回族自治区,0.39,2020/1/5
四川省,内蒙古自治区,0.37,2020/1/5
四川省,吉林省,0.32,2020/1/5
四川省,重庆市,30.35,2020/1/6
四川省,云南省,13.07,2020/1/6
四川省,贵州省,8.74,2020/1/6
四川省,陕西省,5.65,2020/1/6
四川省,广东省,5.55,2020/1/6
四川省,北京市,3.39,2020/1/6
四川省,河南省,2.78,2020/1/6
四川省,甘肃省,2.64,2020/1/6
四川省,湖北省,2.63,2020/1/6
四川省,江苏省,2.41,2020/1/6
四川省,浙江省,2.06,2020/1/6
四川省,山东省,1.89,2020/1/6
四川省,上海市,1.89,2020/1/6
四川省,湖南省,1.77,2020/1/6
四川省,河北省,1.56,2020/1/6
四川省,广西壮族自治区,1.49,2020/1/6
四川省,海南省,1.36,2020/1/6
四川省,福建省,1.3,2020/1/6
四川省,安徽省,1.23,2020/1/6
四川省,山西省,1.09,2020/1/6
四川省,江西省,1.06,2020/1/6
四川省,新疆维吾尔自治区,1.03,2020/1/6
四川省,西藏自治区,0.96,2020/1/6
四川省,青海省,0.86,2020/1/6
四川省,辽宁省,0.7,2020/1/6
四川省,内蒙古自治区,0.51,2020/1/6
四川省,黑龙江省,0.47,2020/1/6
四川省,宁夏回族自治区,0.42,2020/1/6
四川省,天津市,0.4,2020/1/6
四川省,吉林省,0.38,2020/1/6
四川省,重庆市,29.97,2020/1/7
四川省,云南省,12.6,2020/1/7
四川省,贵州省,8.68,2020/1/7
四川省,陕西省,5.36,2020/1/7
四川省,广东省,5.25,2020/1/7
四川省,北京市,3.26,2020/1/7
四川省,河南省,2.94,2020/1/7
四川省,湖北省,2.91,2020/1/7
四川省,甘肃省,2.73,2020/1/7
四川省,江苏省,2.39,2020/1/7
四川省,浙江省,2.06,2020/1/7
四川省,山东省,2.06,2020/1/7
四川省,湖南省,1.88,2020/1/7
四川省,上海市,1.84,2020/1/7
四川省,河北省,1.69,2020/1/7
四川省,广西壮族自治区,1.55,2020/1/7
四川省,福建省,1.38,2020/1/7
四川省,海南省,1.37,2020/1/7
四川省,安徽省,1.29,2020/1/7
四川省,江西省,1.19,2020/1/7
四川省,山西省,1.16,2020/1/7
四川省,新疆维吾尔自治区,1.08,2020/1/7
四川省,西藏自治区,0.91,2020/1/7
四川省,青海省,0.89,2020/1/7
四川省,辽宁省,0.83,2020/1/7
四川省,黑龙江省,0.54,2020/1/7
四川省,内蒙古自治区,0.51,2020/1/7
四川省,天津市,0.48,2020/1/7
四川省,宁夏回族自治区,0.45,2020/1/7
四川省,吉林省,0.41,2020/1/7
四川省,重庆市,29.76,2020/1/8
四川省,云南省,12.16,2020/1/8
四川省,贵州省,8.28,2020/1/8
四川省,陕西省,5.47,2020/1/8
四川省,广东省,5.34,2020/1/8
四川省,北京市,3.36,2020/1/8
四川省,河南省,3,2020/1/8
四川省,湖北省,2.98,2020/1/8
四川省,甘肃省,2.87,2020/1/8
四川省,江苏省,2.35,2020/1/8
四川省,浙江省,2.09,2020/1/8
四川省,湖南省,2.07,2020/1/8
四川省,山东省,1.94,2020/1/8
四川省,上海市,1.88,2020/1/8
四川省,河北省,1.78,2020/1/8
四川省,广西壮族自治区,1.55,2020/1/8
四川省,海南省,1.44,2020/1/8
四川省,福建省,1.44,2020/1/8
四川省,山西省,1.38,2020/1/8
四川省,江西省,1.24,2020/1/8
四川省,安徽省,1.24,2020/1/8
四川省,新疆维吾尔自治区,1.11,2020/1/8
四川省,西藏自治区,0.82,2020/1/8
四川省,辽宁省,0.79,2020/1/8
四川省,青海省,0.78,2020/1/8
四川省,黑龙江省,0.58,2020/1/8
四川省,天津市,0.53,2020/1/8
四川省,内蒙古自治区,0.51,2020/1/8
四川省,宁夏回族自治区,0.47,2020/1/8
四川省,吉林省,0.46,2020/1/8
四川省,重庆市,29.97,2020/1/9
四川省,云南省,11.85,2020/1/9
四川省,贵州省,8.17,2020/1/9
四川省,陕西省,5.43,2020/1/9
四川省,广东省,5.1,2020/1/9
四川省,湖北省,3.51,2020/1/9
四川省,河南省,3.33,2020/1/9
四川省,北京市,2.93,2020/1/9
四川省,甘肃省,2.79,2020/1/9
四川省,江苏省,2.37,2020/1/9
四川省,湖南省,2.18,2020/1/9
四川省,浙江省,2.1,2020/1/9
四川省,河北省,1.78,2020/1/9
四川省,山东省,1.77,2020/1/9
四川省,上海市,1.68,2020/1/9
四川省,广西壮族自治区,1.65,2020/1/9
四川省,福建省,1.56,2020/1/9
四川省,海南省,1.5,2020/1/9
四川省,江西省,1.34,2020/1/9
四川省,安徽省,1.31,2020/1/9
四川省,山西省,1.25,2020/1/9
四川省,新疆维吾尔自治区,1.25,2020/1/9
四川省,辽宁省,0.83,2020/1/9
四川省,西藏自治区,0.8,2020/1/9
四川省,青海省,0.76,2020/1/9
四川省,黑龙江省,0.56,2020/1/9
四川省,内蒙古自治区,0.55,2020/1/9
四川省,天津市,0.47,2020/1/9
四川省,吉林省,0.44,2020/1/9
四川省,宁夏回族自治区,0.44,2020/1/9
四川省,重庆市,33.78,2020/1/10
四川省,云南省,12.51,2020/1/10
四川省,贵州省,8.41,2020/1/10
四川省,陕西省,5.58,2020/1/10
四川省,广东省,4.75,2020/1/10
四川省,湖北省,3.09,2020/1/10
四川省,河南省,2.88,2020/1/10
四川省,甘肃省,2.74,2020/1/10
四川省,北京市,2.72,2020/1/10
四川省,江苏省,2.13,2020/1/10
四川省,湖南省,1.84,2020/1/10
四川省,浙江省,1.83,2020/1/10
四川省,山东省,1.67,2020/1/10
四川省,上海市,1.66,2020/1/10
四川省,广西壮族自治区,1.58,2020/1/10
四川省,河北省,1.51,2020/1/10
四川省,福建省,1.27,2020/1/10
四川省,海南省,1.19,2020/1/10
四川省,安徽省,1.08,2020/1/10
四川省,山西省,1.05,2020/1/10
四川省,新疆维吾尔自治区,1.05,2020/1/10
四川省,江西省,1.04,2020/1/10
四川省,西藏自治区,0.8,2020/1/10
四川省,青海省,0.71,2020/1/10
四川省,辽宁省,0.65,2020/1/10
四川省,天津市,0.51,2020/1/10
四川省,黑龙江省,0.46,2020/1/10
四川省,内蒙古自治区,0.45,2020/1/10
四川省,宁夏回族自治区,0.39,2020/1/10
四川省,吉林省,0.38,2020/1/10
四川省,重庆市,35.59,2020/1/11
四川省,云南省,12.59,2020/1/11
四川省,贵州省,8.15,2020/1/11
四川省,陕西省,5.98,2020/1/11
四川省,广东省,4.5,2020/1/11
四川省,湖北省,3.25,2020/1/11
四川省,河南省,2.84,2020/1/11
四川省,甘肃省,2.73,2020/1/11
四川省,北京市,2.41,2020/1/11
四川省,湖南省,1.94,2020/1/11
四川省,江苏省,1.85,2020/1/11
四川省,浙江省,1.7,2020/1/11
四川省,广西壮族自治区,1.59,2020/1/11
四川省,河北省,1.53,2020/1/11
四川省,上海市,1.5,2020/1/11
四川省,山东省,1.33,2020/1/11
四川省,山西省,1.17,2020/1/11
四川省,海南省,1.1,2020/1/11
四川省,江西省,1.1,2020/1/11
四川省,福建省,1.08,2020/1/11
四川省,安徽省,1.05,2020/1/11
四川省,新疆维吾尔自治区,0.79,2020/1/11
四川省,青海省,0.71,2020/1/11
四川省,辽宁省,0.7,2020/1/11
四川省,西藏自治区,0.7,2020/1/11
四川省,内蒙古自治区,0.4,2020/1/11
四川省,宁夏回族自治区,0.38,2020/1/11
四川省,黑龙江省,0.37,2020/1/11
四川省,天津市,0.35,2020/1/11
四川省,吉林省,0.33,2020/1/11
四川省,重庆市,33.72,2020/1/12
四川省,云南省,13.57,2020/1/12
四川省,贵州省,8.48,2020/1/12
四川省,陕西省,5.25,2020/1/12
四川省,广东省,4.58,2020/1/12
四川省,湖北省,3.1,2020/1/12
四川省,河南省,2.99,2020/1/12
四川省,甘肃省,2.73,2020/1/12
四川省,北京市,2.23,2020/1/12
四川省,湖南省,1.91,2020/1/12
四川省,江苏省,1.89,2020/1/12
四川省,广西壮族自治区,1.72,2020/1/12
四川省,河北省,1.71,2020/1/12
四川省,浙江省,1.57,2020/1/12
四川省,山东省,1.55,2020/1/12
四川省,上海市,1.41,2020/1/12
四川省,海南省,1.24,2020/1/12
四川省,江西省,1.23,2020/1/12
四川省,福建省,1.22,2020/1/12
四川省,山西省,1.13,2020/1/12
四川省,新疆维吾尔自治区,1.1,2020/1/12
四川省,安徽省,1.05,2020/1/12
四川省,西藏自治区,0.81,2020/1/12
四川省,青海省,0.78,2020/1/12
四川省,辽宁省,0.68,2020/1/12
四川省,天津市,0.48,2020/1/12
四川省,黑龙江省,0.44,2020/1/12
四川省,内蒙古自治区,0.41,2020/1/12
四川省,宁夏回族自治区,0.38,2020/1/12
四川省,吉林省,0.35,2020/1/12
四川省,重庆市,33.74,2020/1/13
四川省,云南省,12.46,2020/1/13
四川省,贵州省,8.97,2020/1/13
四川省,陕西省,5.53,2020/1/13
四川省,广东省,4.84,2020/1/13
四川省,湖北省,3.01,2020/1/13
四川省,河南省,2.98,2020/1/13
四川省,甘肃省,2.6,2020/1/13
四川省,北京市,2.48,2020/1/13
四川省,湖南省,2.04,2020/1/13
四川省,江苏省,1.86,2020/1/13
四川省,浙江省,1.77,2020/1/13
四川省,广西壮族自治区,1.61,2020/1/13
四川省,河北省,1.6,2020/1/13
四川省,上海市,1.52,2020/1/13
四川省,山东省,1.48,2020/1/13
四川省,福建省,1.28,2020/1/13
四川省,江西省,1.27,2020/1/13
四川省,海南省,1.24,2020/1/13
四川省,安徽省,1.21,2020/1/13
四川省,山西省,1.07,2020/1/13
四川省,新疆维吾尔自治区,0.99,2020/1/13
四川省,西藏自治区,0.77,2020/1/13
四川省,青海省,0.69,2020/1/13
四川省,辽宁省,0.69,2020/1/13
四川省,黑龙江省,0.43,2020/1/13
四川省,内蒙古自治区,0.42,2020/1/13
四川省,吉林省,0.37,2020/1/13
四川省,天津市,0.37,2020/1/13
四川省,宁夏回族自治区,0.36,2020/1/13
四川省,重庆市,32.99,2020/1/14
四川省,云南省,12.98,2020/1/14
四川省,贵州省,8.61,2020/1/14
四川省,陕西省,5.58,2020/1/14
四川省,广东省,4.69,2020/1/14
四川省,湖北省,3.2,2020/1/14
四川省,河南省,3.05,2020/1/14
四川省,甘肃省,2.61,2020/1/14
四川省,北京市,2.5,2020/1/14
四川省,湖南省,2.22,2020/1/14
四川省,江苏省,2.01,2020/1/14
四川省,浙江省,1.72,2020/1/14
四川省,河北省,1.63,2020/1/14
四川省,广西壮族自治区,1.57,2020/1/14
四川省,山东省,1.51,2020/1/14
四川省,江西省,1.4,2020/1/14
四川省,上海市,1.38,2020/1/14
四川省,福建省,1.36,2020/1/14
四川省,海南省,1.26,2020/1/14
四川省,安徽省,1.2,2020/1/14
四川省,新疆维吾尔自治区,1.03,2020/1/14
四川省,山西省,1.03,2020/1/14
四川省,青海省,0.72,2020/1/14
四川省,西藏自治区,0.7,2020/1/14
四川省,辽宁省,0.68,2020/1/14
四川省,黑龙江省,0.46,2020/1/14
四川省,内蒙古自治区,0.44,2020/1/14
四川省,吉林省,0.39,2020/1/14
四川省,天津市,0.36,2020/1/14
四川省,宁夏回族自治区,0.35,2020/1/14
四川省,重庆市,32.97,2020/1/15
四川省,云南省,12.85,2020/1/15
四川省,贵州省,8.44,2020/1/15
四川省,陕西省,5.58,2020/1/15
四川省,广东省,4.25,2020/1/15
四川省,河南省,3.52,2020/1/15
四川省,湖北省,3.42,2020/1/15
四川省,甘肃省,2.51,2020/1/15
四川省,北京市,2.44,2020/1/15
四川省,湖南省,2.24,2020/1/15
四川省,江苏省,2.06,2020/1/15
四川省,浙江省,1.77,2020/1/15
四川省,河北省,1.7,2020/1/15
四川省,山东省,1.7,2020/1/15
四川省,广西壮族自治区,1.52,2020/1/15
四川省,江西省,1.47,2020/1/15
四川省,福建省,1.42,2020/1/15
四川省,上海市,1.37,2020/1/15
四川省,安徽省,1.28,2020/1/15
四川省,海南省,1.21,2020/1/15
四川省,山西省,1.08,2020/1/15
四川省,新疆维吾尔自治区,0.96,2020/1/15
四川省,青海省,0.68,2020/1/15
四川省,辽宁省,0.67,2020/1/15
四川省,西藏自治区,0.67,2020/1/15
四川省,天津市,0.43,2020/1/15
四川省,黑龙江省,0.43,2020/1/15
四川省,内蒙古自治区,0.39,2020/1/15
四川省,吉林省,0.33,2020/1/15
四川省,宁夏回族自治区,0.29,2020/1/15
四川省,重庆市,33.11,2020/1/16
四川省,云南省,12.39,2020/1/16
四川省,贵州省,8.08,2020/1/16
四川省,陕西省,5.7,2020/1/16
四川省,广东省,4.36,2020/1/16
四川省,湖北省,3.64,2020/1/16
四川省,河南省,3.53,2020/1/16
四川省,甘肃省,2.44,2020/1/16
四川省,湖南省,2.4,2020/1/16
四川省,北京市,2.33,2020/1/16
四川省,江苏省,2.08,2020/1/16
四川省,浙江省,1.81,2020/1/16
四川省,河北省,1.75,2020/1/16
四川省,广西壮族自治区,1.65,2020/1/16
四川省,山东省,1.63,2020/1/16
四川省,江西省,1.58,2020/1/16
四川省,安徽省,1.44,2020/1/16
四川省,福建省,1.39,2020/1/16
四川省,上海市,1.34,2020/1/16
四川省,海南省,1.27,2020/1/16
四川省,山西省,1.06,2020/1/16
四川省,新疆维吾尔自治区,0.87,2020/1/16
四川省,辽宁省,0.7,2020/1/16
四川省,西藏自治区,0.69,2020/1/16
四川省,青海省,0.65,2020/1/16
四川省,黑龙江省,0.43,2020/1/16
四川省,内蒙古自治区,0.41,2020/1/16
四川省,吉林省,0.39,2020/1/16
四川省,天津市,0.35,2020/1/16
四川省,宁夏回族自治区,0.26,2020/1/16
四川省,重庆市,33.52,2020/1/17
四川省,云南省,11.9,2020/1/17
四川省,贵州省,7.65,2020/1/17
四川省,陕西省,5.58,2020/1/17
四川省,广东省,4.32,2020/1/17
四川省,河南省,3.77,2020/1/17
四川省,湖北省,3.64,2020/1/17
四川省,湖南省,2.6,2020/1/17
四川省,甘肃省,2.5,2020/1/17
四川省,江苏省,2.03,2020/1/17
四川省,北京市,2.02,2020/1/17
四川省,河北省,1.98,2020/1/17
四川省,浙江省,1.93,2020/1/17
四川省,广西壮族自治区,1.78,2020/1/17
四川省,江西省,1.76,2020/1/17
四川省,山东省,1.74,2020/1/17
四川省,福建省,1.43,2020/1/17
四川省,安徽省,1.42,2020/1/17
四川省,上海市,1.3,2020/1/17
四川省,海南省,1.18,2020/1/17
四川省,山西省,1.18,2020/1/17
四川省,新疆维吾尔自治区,0.92,2020/1/17
四川省,辽宁省,0.65,2020/1/17
四川省,西藏自治区,0.57,2020/1/17
四川省,青海省,0.57,2020/1/17
四川省,天津市,0.42,2020/1/17
四川省,黑龙江省,0.42,2020/1/17
四川省,吉林省,0.35,2020/1/17
四川省,内蒙古自治区,0.34,2020/1/17
四川省,宁夏回族自治区,0.27,2020/1/17
四川省,重庆市,33.98,2020/1/18
四川省,云南省,11.9,2020/1/18
四川省,贵州省,7.91,2020/1/18
四川省,陕西省,5.74,2020/1/18
四川省,广东省,4.12,2020/1/18
四川省,湖北省,4.01,2020/1/18
四川省,河南省,3.5,2020/1/18
四川省,湖南省,2.66,2020/1/18
四川省,甘肃省,2.66,2020/1/18
四川省,江苏省,2.03,2020/1/18
四川省,江西省,1.88,2020/1/18
四川省,河北省,1.86,2020/1/18
四川省,浙江省,1.77,2020/1/18
四川省,北京市,1.76,2020/1/18
四川省,广西壮族自治区,1.68,2020/1/18
四川省,山东省,1.56,2020/1/18
四川省,安徽省,1.48,2020/1/18
四川省,福建省,1.47,2020/1/18
四川省,海南省,1.18,2020/1/18
四川省,山西省,1.18,2020/1/18
四川省,上海市,1.08,2020/1/18
四川省,新疆维吾尔自治区,0.86,2020/1/18
四川省,辽宁省,0.62,2020/1/18
四川省,西藏自治区,0.56,2020/1/18
四川省,青海省,0.55,2020/1/18
四川省,黑龙江省,0.39,2020/1/18
四川省,吉林省,0.37,2020/1/18
四川省,内蒙古自治区,0.35,2020/1/18
四川省,天津市,0.32,2020/1/18
四川省,宁夏回族自治区,0.27,2020/1/18
四川省,重庆市,32.63,2020/1/19
四川省,云南省,11.94,2020/1/19
四川省,贵州省,7.64,2020/1/19
四川省,陕西省,5.74,2020/1/19
四川省,湖北省,4.2,2020/1/19
四川省,广东省,4.17,2020/1/19
四川省,河南省,3.78,2020/1/19
四川省,湖南省,2.87,2020/1/19
四川省,甘肃省,2.68,2020/1/19
四川省,江苏省,2.12,2020/1/19
四川省,广西壮族自治区,2.04,2020/1/19
四川省,河北省,1.91,2020/1/19
四川省,江西省,1.84,2020/1/19
四川省,浙江省,1.82,2020/1/19
四川省,山东省,1.75,2020/1/19
四川省,北京市,1.63,2020/1/19
四川省,福建省,1.54,2020/1/19
四川省,安徽省,1.47,2020/1/19
四川省,山西省,1.28,2020/1/19
四川省,海南省,1.28,2020/1/19
四川省,上海市,1.09,2020/1/19
四川省,新疆维吾尔自治区,0.77,2020/1/19
四川省,辽宁省,0.64,2020/1/19
