主省份,迁出省份,比例,日期
四川省,河北省,0.87,2020/2/7
四川省,甘肃省,0.78,2020/2/7
四川省,山东省,0.68,2020/2/7
四川省,西藏自治区,0.62,2020/2/7
四川省,安徽省,0.62,2020/2/7
四川省,新疆维吾尔自治区,0.51,2020/2/7
四川省,江西省,0.47,2020/2/7
四川省,山西省,0.46,2020/2/7
四川省,青海省,0.41,2020/2/7
四川省,辽宁省,0.34,2020/2/7
四川省,海南省,0.34,2020/2/7
四川省,天津市,0.32,2020/2/7
四川省,内蒙古自治区,0.13,2020/2/7
四川省,吉林省,0.08,2020/2/7
四川省,黑龙江省,0.06,2020/2/7
四川省,宁夏回族自治区,0.03,2020/2/7
四川省,广东省,38.85,2020/2/8
四川省,重庆市,17.96,2020/2/8
四川省,云南省,7.76,2020/2/8
四川省,上海市,5.81,2020/2/8
四川省,贵州省,4.83,2020/2/8
四川省,江苏省,3.57,2020/2/8
四川省,福建省,3.53,2020/2/8
四川省,广西壮族自治区,2.97,2020/2/8
四川省,北京市,1.71,2020/2/8
四川省,湖南省,1.71,2020/2/8
四川省,浙江省,1.53,2020/2/8
四川省,陕西省,1.46,2020/2/8
四川省,河南省,1.21,2020/2/8
四川省,湖北省,0.85,2020/2/8
四川省,河北省,0.7,2020/2/8
四川省,西藏自治区,0.65,2020/2/8
四川省,甘肃省,0.63,2020/2/8
四川省,山东省,0.63,2020/2/8
四川省,安徽省,0.58,2020/2/8
四川省,江西省,0.49,2020/2/8
四川省,新疆维吾尔自治区,0.43,2020/2/8
四川省,山西省,0.42,2020/2/8
四川省,青海省,0.35,2020/2/8
四川省,辽宁省,0.35,2020/2/8
四川省,海南省,0.34,2020/2/8
四川省,天津市,0.23,2020/2/8
四川省,内蒙古自治区,0.11,2020/2/8
四川省,吉林省,0.06,2020/2/8
四川省,黑龙江省,0.05,2020/2/8
四川省,宁夏回族自治区,0.04,2020/2/8
四川省,广东省,32.28,2020/2/9
四川省,重庆市,22.8,2020/2/9
四川省,云南省,9.95,2020/2/9
四川省,上海市,5.86,2020/2/9
四川省,贵州省,4.75,2020/2/9
四川省,江苏省,3.11,2020/2/9
四川省,福建省,3.06,2020/2/9
四川省,北京市,2.27,2020/2/9
四川省,广西壮族自治区,1.96,2020/2/9
四川省,陕西省,1.63,2020/2/9
四川省,浙江省,1.54,2020/2/9
四川省,湖南省,1.4,2020/2/9
四川省,河南省,1.06,2020/2/9
四川省,西藏自治区,1,2020/2/9
四川省,湖北省,0.91,2020/2/9
四川省,山东省,0.84,2020/2/9
四川省,甘肃省,0.81,2020/2/9
四川省,河北省,0.75,2020/2/9
四川省,安徽省,0.64,2020/2/9
四川省,山西省,0.46,2020/2/9
四川省,青海省,0.46,2020/2/9
四川省,海南省,0.45,2020/2/9
四川省,新疆维吾尔自治区,0.45,2020/2/9
四川省,江西省,0.4,2020/2/9
四川省,辽宁省,0.39,2020/2/9
四川省,天津市,0.32,2020/2/9
四川省,内蒙古自治区,0.1,2020/2/9
四川省,黑龙江省,0.09,2020/2/9
四川省,宁夏回族自治区,0.06,2020/2/9
四川省,吉林省,0.05,2020/2/9
四川省,广东省,27.84,2020/2/10
四川省,重庆市,21.09,2020/2/10
四川省,云南省,11.99,2020/2/10
四川省,上海市,6.04,2020/2/10
四川省,贵州省,5.55,2020/2/10
四川省,北京市,3.02,2020/2/10
四川省,江苏省,2.97,2020/2/10
四川省,福建省,2.74,2020/2/10
四川省,广西壮族自治区,2.59,2020/2/10
四川省,湖南省,1.8,2020/2/10
四川省,陕西省,1.73,2020/2/10
四川省,浙江省,1.61,2020/2/10
四川省,西藏自治区,1.17,2020/2/10
四川省,河南省,1.17,2020/2/10
四川省,湖北省,1.13,2020/2/10
四川省,山东省,0.99,2020/2/10
四川省,甘肃省,0.98,2020/2/10
四川省,河北省,0.9,2020/2/10
四川省,安徽省,0.69,2020/2/10
四川省,青海省,0.61,2020/2/10
四川省,山西省,0.58,2020/2/10
四川省,海南省,0.57,2020/2/10
四川省,辽宁省,0.48,2020/2/10
四川省,江西省,0.47,2020/2/10
四川省,新疆维吾尔自治区,0.36,2020/2/10
四川省,天津市,0.34,2020/2/10
四川省,内蒙古自治区,0.2,2020/2/10
四川省,黑龙江省,0.08,2020/2/10
四川省,吉林省,0.08,2020/2/10
四川省,宁夏回族自治区,0.06,2020/2/10
四川省,重庆市,22.74,2020/2/11
四川省,广东省,22.17,2020/2/11
四川省,云南省,15.26,2020/2/11
四川省,贵州省,6.8,2020/2/11
四川省,上海市,5.57,2020/2/11
四川省,北京市,3.02,2020/2/11
四川省,江苏省,2.7,2020/2/11
四川省,福建省,2.7,2020/2/11
四川省,广西壮族自治区,1.9,2020/2/11
四川省,陕西省,1.85,2020/2/11
四川省,浙江省,1.63,2020/2/11
四川省,湖南省,1.6,2020/2/11
四川省,河南省,1.44,2020/2/11
四川省,湖北省,1.34,2020/2/11
四川省,西藏自治区,1.33,2020/2/11
四川省,甘肃省,1.25,2020/2/11
四川省,山东省,1.07,2020/2/11
四川省,河北省,0.85,2020/2/11
四川省,青海省,0.67,2020/2/11
四川省,安徽省,0.62,2020/2/11
四川省,海南省,0.56,2020/2/11
四川省,山西省,0.56,2020/2/11
四川省,辽宁省,0.5,2020/2/11
四川省,新疆维吾尔自治区,0.48,2020/2/11
四川省,江西省,0.41,2020/2/11
四川省,天津市,0.3,2020/2/11
四川省,内蒙古自治区,0.21,2020/2/11
四川省,黑龙江省,0.12,2020/2/11
四川省,吉林省,0.09,2020/2/11
四川省,宁夏回族自治区,0.08,2020/2/11
四川省,重庆市,22.22,2020/2/12
四川省,广东省,21.44,2020/2/12
四川省,云南省,16.67,2020/2/12
四川省,贵州省,7.64,2020/2/12
四川省,上海市,4.09,2020/2/12
四川省,福建省,2.9,2020/2/12
四川省,广西壮族自治区,2.78,2020/2/12
四川省,北京市,2.33,2020/2/12
四川省,浙江省,2.13,2020/2/12
四川省,江苏省,2.07,2020/2/12
四川省,陕西省,2.05,2020/2/12
四川省,河南省,1.68,2020/2/12
四川省,湖南省,1.65,2020/2/12
四川省,湖北省,1.41,2020/2/12
四川省,西藏自治区,1.41,2020/2/12
四川省,甘肃省,1.31,2020/2/12
四川省,山东省,0.97,2020/2/12
四川省,河北省,0.84,2020/2/12
四川省,安徽省,0.77,2020/2/12
四川省,青海省,0.58,2020/2/12
四川省,山西省,0.55,2020/2/12
四川省,江西省,0.53,2020/2/12
四川省,海南省,0.47,2020/2/12
四川省,新疆维吾尔自治区,0.39,2020/2/12
四川省,辽宁省,0.37,2020/2/12
四川省,天津市,0.21,2020/2/12
四川省,内蒙古自治区,0.13,2020/2/12
四川省,黑龙江省,0.1,2020/2/12
四川省,吉林省,0.07,2020/2/12
四川省,宁夏回族自治区,0.07,2020/2/12
四川省,重庆市,20.44,2020/2/13
四川省,广东省,20.28,2020/2/13
四川省,云南省,16.03,2020/2/13
四川省,贵州省,7.23,2020/2/13
四川省,上海市,3.88,2020/2/13
四川省,山西省,3.27,2020/2/13
四川省,福建省,3.19,2020/2/13
四川省,浙江省,2.9,2020/2/13
四川省,广西壮族自治区,2.62,2020/2/13
四川省,江苏省,2.39,2020/2/13
四川省,北京市,2.24,2020/2/13
四川省,陕西省,2.1,2020/2/13
四川省,湖南省,1.62,2020/2/13
四川省,湖北省,1.62,2020/2/13
四川省,河南省,1.56,2020/2/13
四川省,西藏自治区,1.43,2020/2/13
四川省,甘肃省,1.38,2020/2/13
四川省,安徽省,0.88,2020/2/13
四川省,河北省,0.87,2020/2/13
四川省,山东省,0.86,2020/2/13
四川省,青海省,0.7,2020/2/13
四川省,海南省,0.5,2020/2/13
四川省,江西省,0.46,2020/2/13
四川省,辽宁省,0.4,2020/2/13
四川省,新疆维吾尔自治区,0.33,2020/2/13
四川省,天津市,0.28,2020/2/13
四川省,内蒙古自治区,0.18,2020/2/13
四川省,黑龙江省,0.08,2020/2/13
四川省,宁夏回族自治区,0.06,2020/2/13
四川省,吉林省,0.05,2020/2/13
四川省,重庆市,20.67,2020/2/14
四川省,广东省,18.59,2020/2/14
四川省,云南省,16,2020/2/14
四川省,贵州省,7.3,2020/2/14
四川省,山西省,5.53,2020/2/14
四川省,浙江省,4.38,2020/2/14
四川省,上海市,3.32,2020/2/14
四川省,福建省,2.9,2020/2/14
四川省,广西壮族自治区,2.77,2020/2/14
四川省,江苏省,2.54,2020/2/14
四川省,陕西省,2.19,2020/2/14
四川省,北京市,1.98,2020/2/14
四川省,湖南省,1.52,2020/2/14
四川省,河南省,1.51,2020/2/14
四川省,西藏自治区,1.42,2020/2/14
四川省,甘肃省,1.18,2020/2/14
四川省,山东省,0.79,2020/2/14
四川省,安徽省,0.78,2020/2/14
四川省,河北省,0.71,2020/2/14
四川省,湖北省,0.69,2020/2/14
四川省,江西省,0.64,2020/2/14
四川省,辽宁省,0.54,2020/2/14
四川省,青海省,0.5,2020/2/14
四川省,海南省,0.45,2020/2/14
四川省,新疆维吾尔自治区,0.3,2020/2/14
四川省,天津市,0.27,2020/2/14
四川省,内蒙古自治区,0.18,2020/2/14
四川省,吉林省,0.08,2020/2/14
四川省,黑龙江省,0.05,2020/2/14
四川省,宁夏回族自治区,0.05,2020/2/14
四川省,重庆市,22.98,2020/2/15
四川省,广东省,18.18,2020/2/15
四川省,云南省,16.7,2020/2/15
四川省,贵州省,8.57,2020/2/15
四川省,浙江省,5.7,2020/2/15
四川省,福建省,2.92,2020/2/15
四川省,广西壮族自治区,2.88,2020/2/15
四川省,上海市,2.77,2020/2/15
四川省,江苏省,2.73,2020/2/15
四川省,陕西省,2.27,2020/2/15
四川省,北京市,1.93,2020/2/15
四川省,河南省,1.82,2020/2/15
四川省,湖南省,1.51,2020/2/15
四川省,西藏自治区,1.38,2020/2/15
四川省,甘肃省,1.36,2020/2/15
四川省,山东省,0.81,2020/2/15
四川省,河北省,0.64,2020/2/15
四川省,湖北省,0.64,2020/2/15
四川省,安徽省,0.6,2020/2/15
四川省,江西省,0.59,2020/2/15
四川省,青海省,0.56,2020/2/15
四川省,海南省,0.49,2020/2/15
四川省,山西省,0.44,2020/2/15
四川省,辽宁省,0.42,2020/2/15
四川省,天津市,0.26,2020/2/15
四川省,新疆维吾尔自治区,0.26,2020/2/15
四川省,内蒙古自治区,0.16,2020/2/15
四川省,黑龙江省,0.1,2020/2/15
四川省,吉林省,0.1,2020/2/15
四川省,宁夏回族自治区,0.08,2020/2/15
四川省,广东省,20.69,2020/2/16
四川省,重庆市,18.66,2020/2/16
四川省,云南省,15.09,2020/2/16
四川省,贵州省,8.82,2020/2/16
四川省,浙江省,7.09,2020/2/16
四川省,福建省,3.3,2020/2/16
四川省,广西壮族自治区,3.13,2020/2/16
四川省,江苏省,3.01,2020/2/16
四川省,陕西省,2.34,2020/2/16
四川省,上海市,2.2,2020/2/16
四川省,河南省,1.95,2020/2/16
四川省,北京市,1.76,2020/2/16
四川省,湖南省,1.73,2020/2/16
四川省,西藏自治区,1.66,2020/2/16
四川省,甘肃省,1.36,2020/2/16
四川省,山东省,0.99,2020/2/16
四川省,安徽省,0.93,2020/2/16
四川省,江西省,0.82,2020/2/16
四川省,河北省,0.69,2020/2/16
四川省,山西省,0.65,2020/2/16
四川省,青海省,0.56,2020/2/16
四川省,湖北省,0.51,2020/2/16
四川省,辽宁省,0.51,2020/2/16
四川省,海南省,0.44,2020/2/16
四川省,天津市,0.32,2020/2/16
四川省,新疆维吾尔自治区,0.28,2020/2/16
四川省,内蒙古自治区,0.11,2020/2/16
四川省,吉林省,0.08,2020/2/16
四川省,黑龙江省,0.08,2020/2/16
四川省,宁夏回族自治区,0.05,2020/2/16
四川省,重庆市,21.68,2020/2/17
四川省,广东省,16.3,2020/2/17
四川省,云南省,15.79,2020/2/17
四川省,贵州省,11.12,2020/2/17
四川省,浙江省,7.38,2020/2/17
四川省,江苏省,3.09,2020/2/17
四川省,福建省,2.97,2020/2/17
四川省,陕西省,2.41,2020/2/17
四川省,上海市,2.15,2020/2/17
四川省,广西壮族自治区,2.04,2020/2/17
四川省,北京市,2.03,2020/2/17
四川省,西藏自治区,1.56,2020/2/17
四川省,甘肃省,1.55,2020/2/17
四川省,山西省,1.52,2020/2/17
四川省,河南省,1.5,2020/2/17
四川省,湖南省,1.1,2020/2/17
四川省,山东省,0.94,2020/2/17
四川省,河北省,0.68,2020/2/17
四川省,江西省,0.62,2020/2/17
四川省,安徽省,0.6,2020/2/17
四川省,湖北省,0.56,2020/2/17
四川省,辽宁省,0.49,2020/2/17
四川省,海南省,0.45,2020/2/17
四川省,青海省,0.42,2020/2/17
四川省,新疆维吾尔自治区,0.29,2020/2/17
四川省,天津市,0.19,2020/2/17
四川省,内蒙古自治区,0.13,2020/2/17
四川省,吉林省,0.12,2020/2/17
四川省,黑龙江省,0.09,2020/2/17
四川省,宁夏回族自治区,0.08,2020/2/17
四川省,重庆市,22.54,2020/2/18
四川省,云南省,15.16,2020/2/18
四川省,广东省,14.64,2020/2/18
四川省,贵州省,14.11,2020/2/18
四川省,浙江省,8.41,2020/2/18
四川省,江苏省,3.34,2020/2/18
四川省,福建省,2.67,2020/2/18
四川省,陕西省,2.61,2020/2/18
四川省,广西壮族自治区,2.1,2020/2/18
四川省,上海市,1.76,2020/2/18
四川省,河南省,1.74,2020/2/18
四川省,湖南省,1.46,2020/2/18
四川省,北京市,1.43,2020/2/18
四川省,甘肃省,1.39,2020/2/18
四川省,西藏自治区,1.15,2020/2/18
四川省,江西省,0.78,2020/2/18
四川省,山东省,0.71,2020/2/18
四川省,安徽省,0.57,2020/2/18
四川省,河北省,0.56,2020/2/18
四川省,湖北省,0.52,2020/2/18
四川省,山西省,0.47,2020/2/18
四川省,海南省,0.38,2020/2/18
四川省,青海省,0.32,2020/2/18
四川省,辽宁省,0.29,2020/2/18
四川省,新疆维吾尔自治区,0.2,2020/2/18
四川省,天津市,0.19,2020/2/18
四川省,内蒙古自治区,0.12,2020/2/18
四川省,黑龙江省,0.08,2020/2/18
四川省,宁夏回族自治区,0.06,2020/2/18
四川省,吉林省,0.05,2020/2/18
四川省,重庆市,19.92,2020/2/19
四川省,广东省,16.6,2020/2/19
四川省,云南省,13.02,2020/2/19
四川省,贵州省,12.83,2020/2/19
四川省,浙江省,9.32,2020/2/19
四川省,福建省,3.6,2020/2/19
四川省,江苏省,3.59,2020/2/19
四川省,广西壮族自治区,3.14,2020/2/19
四川省,陕西省,2.66,2020/2/19
四川省,湖南省,1.98,2020/2/19
四川省,河南省,1.97,2020/2/19
四川省,上海市,1.66,2020/2/19
四川省,甘肃省,1.4,2020/2/19
四川省,北京市,1.21,2020/2/19
四川省,江西省,1.06,2020/2/19
四川省,西藏自治区,0.95,2020/2/19
四川省,山东省,0.88,2020/2/19
四川省,安徽省,0.71,2020/2/19
四川省,湖北省,0.55,2020/2/19
四川省,河北省,0.55,2020/2/19
四川省,山西省,0.42,2020/2/19
四川省,青海省,0.41,2020/2/19
四川省,辽宁省,0.37,2020/2/19
四川省,海南省,0.35,2020/2/19
四川省,天津市,0.21,2020/2/19
四川省,新疆维吾尔自治区,0.15,2020/2/19
四川省,内蒙古自治区,0.12,2020/2/19
四川省,宁夏回族自治区,0.09,2020/2/19
四川省,吉林省,0.05,2020/2/19
四川省,黑龙江省,0.04,2020/2/19
四川省,重庆市,19.11,2020/2/20
四川省,广东省,18.38,2020/2/20
四川省,云南省,11.59,2020/2/20
四川省,贵州省,11.22,2020/2/20
四川省,浙江省,10.84,2020/2/20
四川省,江苏省,4.11,2020/2/20
四川省,福建省,3.95,2020/2/20
四川省,广西壮族自治区,3.04,2020/2/20
四川省,陕西省,2.63,2020/2/20
四川省,湖南省,1.88,2020/2/20
四川省,河南省,1.84,2020/2/20
四川省,上海市,1.74,2020/2/20
四川省,甘肃省,1.33,2020/2/20
四川省,西藏自治区,1.15,2020/2/20
四川省,北京市,1.13,2020/2/20
四川省,江西省,1.07,2020/2/20
四川省,山东省,0.76,2020/2/20
四川省,安徽省,0.7,2020/2/20
四川省,河北省,0.62,2020/2/20
四川省,湖北省,0.49,2020/2/20
四川省,山西省,0.48,2020/2/20
四川省,海南省,0.36,2020/2/20
四川省,青海省,0.35,2020/2/20
四川省,辽宁省,0.33,2020/2/20
四川省,新疆维吾尔自治区,0.2,2020/2/20
四川省,天津市,0.16,2020/2/20
四川省,内蒙古自治区,0.15,2020/2/20
四川省,黑龙江省,0.08,2020/2/20
四川省,吉林省,0.08,2020/2/20
四川省,宁夏回族自治区,0.06,2020/2/20
四川省,重庆市,24.28,2020/2/21
四川省,广东省,15.06,2020/2/21
四川省,贵州省,13.96,2020/2/21
四川省,浙江省,10.46,2020/2/21
四川省,云南省,10.32,2020/2/21
四川省,江苏省,4.1,2020/2/21
四川省,福建省,3.53,2020/2/21
四川省,陕西省,2.44,2020/2/21
四川省,广西壮族自治区,2.25,2020/2/21
四川省,河南省,1.71,2020/2/21
四川省,湖南省,1.59,2020/2/21
四川省,上海市,1.46,2020/2/21
四川省,甘肃省,1.19,2020/2/21
四川省,湖北省,1.12,2020/2/21
四川省,江西省,0.94,2020/2/21
四川省,北京市,0.88,2020/2/21
四川省,西藏自治区,0.8,2020/2/21
四川省,山东省,0.7,2020/2/21
四川省,安徽省,0.69,2020/2/21
四川省,河北省,0.53,2020/2/21
四川省,山西省,0.37,2020/2/21
四川省,青海省,0.33,2020/2/21
四川省,海南省,0.31,2020/2/21
四川省,辽宁省,0.24,2020/2/21
四川省,天津市,0.16,2020/2/21
四川省,新疆维吾尔自治区,0.16,2020/2/21
四川省,内蒙古自治区,0.12,2020/2/21
四川省,吉林省,0.08,2020/2/21
四川省,宁夏回族自治区,0.04,2020/2/21
四川省,黑龙江省,0.04,2020/2/21
四川省,重庆市,21.47,2020/2/22
四川省,广东省,16.35,2020/2/22
四川省,贵州省,11.81,2020/2/22
四川省,云南省,10.33,2020/2/22
四川省,浙江省,9.5,2020/2/22
四川省,江苏省,4.95,2020/2/22
四川省,广西壮族自治区,3.65,2020/2/22
四川省,福建省,3.56,2020/2/22
四川省,陕西省,2.9,2020/2/22
四川省,河南省,2.47,2020/2/22
四川省,湖南省,2.2,2020/2/22
四川省,上海市,1.46,2020/2/22
四川省,江西省,1.27,2020/2/22
四川省,甘肃省,1.2,2020/2/22
四川省,北京市,0.95,2020/2/22
四川省,安徽省,0.89,2020/2/22
四川省,西藏自治区,0.83,2020/2/22
四川省,山东省,0.78,2020/2/22
四川省,湖北省,0.66,2020/2/22
四川省,河北省,0.54,2020/2/22
四川省,山西省,0.51,2020/2/22
四川省,海南省,0.37,2020/2/22
四川省,青海省,0.33,2020/2/22
四川省,辽宁省,0.26,2020/2/22
四川省,天津市,0.2,2020/2/22
四川省,新疆维吾尔自治区,0.14,2020/2/22
四川省,内蒙古自治区,0.11,2020/2/22
四川省,吉林省,0.05,2020/2/22
四川省,宁夏回族自治区,0.04,2020/2/22
四川省,黑龙江省,0.04,2020/2/22
四川省,广东省,21.8,2020/2/23
四川省,重庆市,18.95,2020/2/23
四川省,浙江省,12.5,2020/2/23
四川省,云南省,9.17,2020/2/23
四川省,贵州省,8.67,2020/2/23
四川省,江苏省,5.04,2020/2/23
四川省,福建省,4.39,2020/2/23
四川省,广西壮族自治区,3.14,2020/2/23
四川省,陕西省,2.7,2020/2/23
四川省,河南省,2.23,2020/2/23
四川省,湖南省,1.91,2020/2/23
四川省,上海市,1.38,2020/2/23
四川省,甘肃省,1.08,2020/2/23
四川省,江西省,0.92,2020/2/23
四川省,山东省,0.86,2020/2/23
四川省,北京市,0.83,2020/2/23
四川省,安徽省,0.72,2020/2/23
四川省,西藏自治区,0.66,2020/2/23
四川省,河北省,0.54,2020/2/23
四川省,山西省,0.52,2020/2/23
四川省,海南省,0.36,2020/2/23
四川省,青海省,0.34,2020/2/23
四川省,湖北省,0.34,2020/2/23
四川省,辽宁省,0.26,2020/2/23
四川省,天津市,0.18,2020/2/23
四川省,新疆维吾尔自治区,0.11,2020/2/23
四川省,内蒙古自治区,0.11,2020/2/23
四川省,宁夏回族自治区,0.06,2020/2/23
四川省,吉林省,0.05,2020/2/23
四川省,黑龙江省,0.03,2020/2/23
四川省,重庆市,22.13,2020/2/24
四川省,广东省,18.91,2020/2/24
四川省,浙江省,11.74,2020/2/24
四川省,云南省,10.1,2020/2/24
四川省,贵州省,9.85,2020/2/24
四川省,江苏省,4.86,2020/2/24
四川省,陕西省,3.76,2020/2/24
四川省,福建省,3.75,2020/2/24
四川省,广西壮族自治区,2.59,2020/2/24
四川省,河南省,1.72,2020/2/24
四川省,湖南省,1.65,2020/2/24
四川省,上海市,1.4,2020/2/24
四川省,甘肃省,1.12,2020/2/24
四川省,江西省,0.81,2020/2/24
四川省,北京市,0.78,2020/2/24
四川省,西藏自治区,0.75,2020/2/24
四川省,安徽省,0.67,2020/2/24
四川省,山东省,0.65,2020/2/24
四川省,河北省,0.47,2020/2/24
四川省,山西省,0.39,2020/2/24
四川省,海南省,0.35,2020/2/24
四川省,辽宁省,0.3,2020/2/24
四川省,湖北省,0.3,2020/2/24
四川省,青海省,0.26,2020/2/24
四川省,新疆维吾尔自治区,0.16,2020/2/24
四川省,天津市,0.15,2020/2/24
四川省,内蒙古自治区,0.09,2020/2/24
四川省,宁夏回族自治区,0.05,2020/2/24
四川省,吉林省,0.04,2020/2/24
四川省,黑龙江省,0.04,2020/2/24
四川省,重庆市,22.5,2020/2/25
四川省,广东省,17.49,2020/2/25
四川省,贵州省,11.03,2020/2/25
四川省,云南省,10.99,2020/2/25
四川省,浙江省,9.63,2020/2/25
四川省,江苏省,4.24,2020/2/25
四川省,广西壮族自治区,4.22,2020/2/25
四川省,福建省,3.56,2020/2/25
四川省,陕西省,3.54,2020/2/25
四川省,河南省,1.97,2020/2/25
四川省,湖南省,1.89,2020/2/25
四川省,甘肃省,1.24,2020/2/25
四川省,上海市,1.23,2020/2/25
四川省,江西省,0.78,2020/2/25
四川省,西藏自治区,0.74,2020/2/25
四川省,北京市,0.66,2020/2/25
四川省,安徽省,0.65,2020/2/25
四川省,山东省,0.64,2020/2/25
四川省,山西省,0.52,2020/2/25
四川省,河北省,0.48,2020/2/25
四川省,青海省,0.39,2020/2/25
四川省,海南省,0.36,2020/2/25
四川省,湖北省,0.35,2020/2/25
四川省,天津市,0.22,2020/2/25
四川省,辽宁省,0.2,2020/2/25
四川省,新疆维吾尔自治区,0.12,2020/2/25
四川省,内蒙古自治区,0.09,2020/2/25
四川省,宁夏回族自治区,0.04,2020/2/25
四川省,吉林省,0.03,2020/2/25
四川省,黑龙江省,0.03,2020/2/25
